Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,
Infilect,2015,Bangalore,SaaS startup,Infilect Technologies specialises in visual content intelligence by parsing large-scale visual content such as photos and videos,"Anand Prabhu Subramanian, Vijay Gabale","Mela Ventures, 1Crowd","$1,500,000",Pre-series A,
MobiGarage,2017,New Delhi,E-commerce,An ecommerce platform for refurbished electronics.,"Vaibhav Kapoor, Pulkit Kapoor",,Undisclosed,Pre-series A,
Samunnati,2014,Chennai,Agriculture,Samunnati is a financial service provider focused on agri value chains.,Anil Kumar,"responsAbility, Accel","$20,000,000",Debt,
WeInnovate Biosolutions,2016,Pune,Startup laboratory,Startup working dedicatedly in the area of healthcare-therapeutic solutions.,"Dr Milind Choudhari, Dr Prasad Bhagat, and Dr Anupama",Chiratae ventures,Undisclosed,Seed,
Yummy Corp,2017,"Tangerang, Jawa Barat, Indonesia",Food Industry,"Yummy Corp is a food & beverages company that provides delicious, fresh, and creative food solutions for everyday corporate and group needs.",Mario Suntanu,"Palm Drive Capital, Amatil X Ventures","$12,000,000",Series B,
Smallcase,2015,Bangalore,FinTech,Smallcases are portfolios of stocks or ETFs created by India's top financial experts.,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures","$13,400,000",Series B,
Clairvolex,2006,California,Tech Startup,Clairvolex is an IP solutions company that manages IP assets of large corporations using an IPAM model.,Manoj Pillai,"JF Mauritius SPV, IndusAge Partners","$2,000,000",Debt,
Assiduus,,Bangalore,E-commerce,"Assiduus leverages its eCommerce experience to help build, grow and scale your brand on various eCommerce platforms",Somdutta Singh,VC Firm K Partners,"$1,000,000",Series A,
Brinton,2014,California,HealthTech,Brinton is one of the fastest growing Pharmaceutical Companies spreading its network worldwide.,Rahul Darda,"India Alternatives Private Equity Fund, Tata Capital","$1,300,000",Debt,
AFK Gaming,2012,Mumbai,Entertainment,AFK Gaming is a media and entertainment and gaming company located in Mumbai.,Nishant Patel,,"$200,000",Pre-series A,
Infarm,2013,Berlin,AgriTech,Infarm builds and distributes highly efficient vertical farms throughout cities to grow fresh produce right in your neighbourhood.,"Erez Galonska, Guy Galonska, Osnat Michaeli","Bonnier Ventures, Hanaco Venture Capital","$170,000,000",Series C,
Zuper,2016,Seattle,SaaS startup,Zuper is a productivity suite for service businesses to mobile field workforce and automate all business operations.,Vijay Narasiman,"Gemba Capital, Gunderson Dettmer","$1,100,000",Seed,
mCaffeine,2015,Mumbai,Personal care startup,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.","Tarun Sharma, Vikas Lachhwani","RPSG Ventures, Amicus Capital","$2,900,000",Series B,
Origa,2013,Andheri,FinTech,The charioteer of your growth at all times.,Shrirang Tambe,"500 Startups, ah! Ventures","$2,000,000",Debt,
GullyBuy Software,2019,Pune,Tech Startup,To deliver a solution that will provide shopping convenience to every consumer in India,Shirish Deodhar,,"$543,000",Pre-series A,
Recordent,2019,Hyderabad,FinTech,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Harish Mamtani,,Undisclosed,Seed,
MPL,2018,Bangalore,Entertainment,Mobile Premier League is the mobile e-Sports platform based in India.,"Shubham Malhotra, Sai Srinivas","Base Partners, GO Ventures","$90,000,000",Series C,
Penny,2020,Riyadh,SaaS startup,Offer various development solutions and mainly focus on helping startups,"Iyad Aldalooj, Majid Aldalooj, Mohammed Ibrahim",,"$1,300,000",Seed,
Onsitego,2010,Mumbai,Customer service company,Onsitego is a customer service company for device and appliance repairs.,Kunal Mahipal,"Accel, Zodius Capital","$30,000,000",Series B,
Precily,2017,California,SaaS  startup,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions.,Bharath Rao,"Windrose Capital, Anil Advani",Undisclosed,Seed,
SmartClean,2017,Singapore,Tech Startup,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities.,"Abhishek Mishra, Kush Agarwal, Lav Agarwal, Stella Hu","Seeds Capital, AIM Smart City","$3,400,000",Pre- series A,
ClanConnect,,Delhi,Marketing startup,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented","Kunal Kishore Sinha, Sagar Pushp",,"$600,000",Seed,
Servify,2015,Mumbai,Service industry,Servify is a self-learning platform that provides device management services and warranty solutions.,Sreevathsa Prabhakar,"Blume Ventures, Tetrao","$23,000,000",Series C,
ShareChat,2015,Bangalore,Social media,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu Pratap Singh, Bhanu Singh, Farid Ahsan","Lightspeed venture partners, saif partners","$40,000,000",Pre-series C,
Rephrase.ai,2018,Bangalore,AI,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool.,"Ashray Malhotra, Nisheeth Lahoti, Shivam Mangla","Techstars Bangalore Accelerator, Techstars","$1,500,000",Seed,
Melorra,2015,Bangalore,Jewellery,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace","Saroja Yeramilli, R Krishnakumar","Shadows Holdings, Lightbox","$8,090,000",Debt,
FabHotels,2014,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India,"Adarsh Manpuria, Vaibhav Aggarwal","RB Investments Pte. Ltd, Goldman Sachs","$1,030,000",Series B,
EkAnek,2018,New Delhi,Tech Startup,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories,"Chandranshu Sinha, Kartik Sheth","Lightspeed India Partners, Sequoia Capital India","$5,040,000",Edge,
Cub McPaws,2018,Mumbai,AR startup,Cub McPaws is a kids clothing brand.,"Shah, Abhay Bhat",Venture Catalysts,"$800,000",Pre-series A,
Zimyo,2018,Gurgaon,HR Tech startup,Employee experience platform that empowers organizations to manage and retain great talent!,"Ajay Kadyan, Kumar Mayank","Abhishant Pant, Chiranth Patil","$1,500,000",Seed,
PumPumPum,2018,Gurgaon,Automotive Startup,Pumpumpum is a car rental company,"Tarun Lawadia, Sameer Kalra",,"$360,000",Debt,
Burgerama,2018,Gurgaon,Food Startup,Burgerama is a unit of Junket Foods Private Limited,Kabir Bose,"Madison, Anicut",Undisclosed,Pre-series A,
Moms Co,2016,Gurgaon,HealthCare,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital","$8,000,000",Series B,
DillyHub,2018,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,Ji Cheol Ryu,"Kakao Ventures, Shinhan Capital","$1,400,000",Seed,
FPL Technologies,2019,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi","Matrix Partners India, Hummingbird Ventures","$10,000,000",Series A,
FITTR,2016,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,"Jitendra Chouksey, Sonal Singh, Jyoti Dabas, Bala Krishna Reddy, Rohit Chattopadhyay.",Surge,"$2,000,000",Pre-series A,
Illumnus,2018,Pune,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities","Akash Deep Singhal, Akshaya Singhal, Devashish Saxena, Gauri Dehnkar",23 High Networth Individuals (HNIs).,"$100,000",Seed,
CashKaro,2012,Gurgaon,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,"Rohan Bhargava, Swati Bhargava","Ratan Tata, Kalaari Capital","$10,000,000",Series B,
Newton School,2019,Bangalore,EdTech Startup,Newton School is a platform to learn and develop skills,"Nishant Chandra, Siddharth Maheshwari",Nexus Venture Partners,"$650,000",Seed,
Airmeet,2019,Bangalore,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Global Founders Capital, Redpoint","$12,000,000",Series A,
Observe ai,2017,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","Akash Singh, Sharath Keshava Narayana, Swapnil Jain","01 Advisors, Steadview Capital","$54,000,000",Series B,
InCred,2016,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",Bhupinder Singh,"Pushpak Credit, Fiscal","$5,000,000",Debt,
Toppr,2013,Mumbai,EdTech,Toppr is an Indian educational technology and online tutoring firm,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings","$35,000,000",Series D,
CarTrade,2009,Mumbai,Car Trade,Buy and Sell Used Cars,Vinay Sanghi,"Pincus, JP Morgan, Temasek, March Capital","$42,500,000",Series H,
LEAD School,2012,Mumbai,EdtTech,Offers a high-end digital classroom system focused on enhancing the learning experience,"Sumeet Mehta, Smita Deorah","Westbridge Capital, Elevar Equity","$28,000,000",Series C,
Servify,2015,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",Sreevathsa Prabhakar,"Blume Ventures, Tetrao","$11,370,000",Series C,
Lido Learning,2019,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ‍",Sahil Sheth,"BAce Capital, Madhur Deora","$7,500,000",Series B,
Apna.co,2019,Bangalore,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,Nirmit Parikh,"Lightspeed India, Sequoia Capital India","$8,000,000",Series A,
Quintype Technologies,2014,Bangalore,Tech,"Building a suite of digital publishing solutions to simplify content creation, distribution",Amit Rathore,"IIFL Asset Management, Raghav Bahl","$325,000",Series A,
Dunzo,2014,Bangalore,Tech,Order online and get free delivery from your nearby restaurants,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital","$28,000,000",Series E,
Entropik,2016,Bangalore,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund","$8,000,000",Series A,
Livspace,2014,Bangalore,Home Design,Interior design marketplace that connects interior designers,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator","$9,000,000",Series D,
Ultraviolette Automotive,2015,Bangalore,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,"$410,000",Series B,
WinZO,2016,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures","$18,000,000",Series B,
SenseHawk,2016,Bangalore,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Swarup Mavanoor, Rahul Sankhe","Falcon Edge Capital, SAIF Partners","$5,000,000",Series A,
Railofy,2019,Mumbai,WL & RAC protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi",Chiratae Ventures.,"$900,000",Seed,
Eloelo,2020,Bangalore,Social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.","Saurabh Pandey, Akshay Dubey",,"$450,000",Seed,
Aibono,2014,Bangalore,AgriTech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,Vivek Rajkumar,"Menterra Venture Advisors, Rianta Capital","$2,000,000",Pre-series A,
BuildPan,2019,Indore,SaaS startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sonal Dandotia, Shantanu S, Virendra Chouhan, Vaibhav Tiwari","Sunil Kumar Singhvi, Yusho Kawata","$500,000",Seed,
Homelane,2014,Bangalore,Home interior services,Explore 1000's of fully customizable home interior designs.,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures","$8,000,000",Bridge,
MyGlamm,2015,Mumbai,Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Darpan Sanghvi,Bessemer Venture Partners,"$1,000,000",Series B,
Aviom,2016,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,Kajal Ilmi,"Insitor Partners, C4D Partners","$682,000",Debt,
Flinto,2013,Chennai,EdTech Startup,Flintobox is an India-based company that produces educational activity boxes for children,"Arunprasad Durairaj, Vijaybabu Gandhi, Shreenidhi Srirangam","Sinai Ventures, Y Combinator","$7,000,000",Pre-Series B,
WayCool,2015,Chennai,Agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank","$5,060,000",Series C,
YAP,2014,Chennai,API platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital","$4,050,000",Series A,
Big Bang Boom Solutions,2018,Chennai,Deep Tech,It aims to co-create intellectual property that can reside within the borders of the country.,"Dr. R. Shivaraman, Praveen Dwarakanath","Mumbai Angels, Defence Innovation Organisation","$1,050,000",Series A,
GUVI,2014,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,Arun Prakash,"CBA Capital, Gray Matters Capital","$800,000",Series A,
BluSmart,2019,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform","Anmol Singh Jaggi, Punit K Goyal","Kalpavriksh, JITO Angel Network","$7,000,000",Pre-series A,
Cell Propulsion,2017,Bangalore,Automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,"Nakul Kukar, Paras Kaushal, Supratim Naskar","growX ventures, Sangam Ventures",Undisclosed,Pre-series A,
MPL,2018,Bangalore,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet","$50,000,000",Series B,
Spoonshot,2015,Bangalore,FMCG,A food science company using AI to predict consumer taste and food trends,"Kishan Vasani, Sai Sreenivas Kodur","SRI Capital, Techstars Farm to Fork Accelerator","$1,000,000",Seed A,
Pulse,2015,Mumbai,FinTech,Helps people navigate through and profit off financial markets,"Amit Dhakad, Hiral Jain",,"$750,000",Pre-series A,
Groww,2016,Bangalore,FinTech,Leading Investment and Trading Platform,"Lalit Keshre, Harsh Jain, Neeraj Singh, Ishan Bansal","Y Combinator, Ribbit Capital","$30,000,000",Series C,
i3 Systems,2016,Mumbai,Insurance Tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,"Dr Mallesh Bommanahal, Varzavand Batliwala","Hatanaka Yosuke, Minomiya Takeo","$1,050,000",Pre-series A,
SOAL,2017,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders","Pratik Agarwal, Raj Desai, Varsha Bhambhani","Krishnan Menon, Srinivas Kollipara","$1,000,000",Series A-1,
